transaction_id,account_id,counterparty_account_id,timestamp,amount,merchant_category,channel,device_id,ip_address,phone,email,balance,account_created_at,label
T000000000,A000176,A000277,2025-01-01 00:00:00+00:00,33.27,utilities,card,D00048,10.0.0.172,+1-555-9527,user32767@example.com,452.1,2024-09-09 00:00:00+00:00,0
T000000001,A000247,A000015,2025-01-01 01:27:08.507126781+00:00,8.67,electronics,card,D00075,10.0.1.131,+1-555-9280,user39393@example.com,317.79,2023-04-02 01:27:08.507126781+00:00,0
T000000002,A000102,A000311,2025-01-01 02:54:17.014253563+00:00,51.96,electronics,transfer,D00240,10.0.0.118,+1-555-4240,user89591@example.com,1137.26,2017-11-02 02:54:17.014253563+00:00,0
T000000003,A000195,A000190,2025-01-01 04:21:25.521380345+00:00,62.84,retail,card,D00229,10.0.1.43,+1-555-8093,user73158@example.com,2608.35,2016-09-18 04:21:25.521380345+00:00,0
T000000004,A000311,A000144,2025-01-01 05:48:34.028507126+00:00,3.49,electronics,card,D00181,10.0.1.211,+1-555-7227,user51222@example.com,3514.93,2024-07-29 05:48:34.028507126+00:00,0
T000000005,A000193,A000396,2025-01-01 07:15:42.535633908+00:00,6.67,utilities,card,D00222,10.0.1.166,+1-555-1299,user66701@example.com,875.24,2024-11-08 07:15:42.535633908+00:00,0
T000000006,A000328,A000021,2025-01-01 08:42:51.042760690+00:00,27.88,gaming,card,D00201,10.0.0.193,+1-555-8468,user35570@example.com,2282.94,2020-01-30 08:42:51.042760690+00:00,0
T000000007,A000057,A000130,2025-01-01 10:09:59.549887471+00:00,17.88,travel,wire,D00099,10.0.0.138,+1-555-7055,user98289@example.com,1143.47,2016-12-16 10:09:59.549887471+00:00,0
T000000008,A000068,A000387,2025-01-01 11:37:08.057014253+00:00,24.12,electronics,card,D00178,10.0.1.54,+1-555-8562,user6981@example.com,2090.71,2017-05-02 11:37:08.057014253+00:00,0
T000000009,A000432,A000462,2025-01-01 13:04:16.564141035+00:00,10.45,electronics,wire,D00188,10.0.1.49,+1-555-7895,user57489@example.com,3373.08,2024-10-04 13:04:16.564141035+00:00,0
T000000010,A000230,A000257,2025-01-01 14:31:25.071267816+00:00,59.11,crypto,web,D00034,10.0.1.105,+1-555-9346,user4435@example.com,1146.67,2015-02-16 14:31:25.071267816+00:00,0
T000000011,A000304,A000264,2025-01-01 15:58:33.578394598+00:00,53.4,electronics,web,D00228,10.0.0.36,+1-555-5411,user42976@example.com,3170.29,2022-02-21 15:58:33.578394598+00:00,0
T000000012,A000369,A000483,2025-01-01 17:25:42.085521380+00:00,26.21,retail,web,D00123,10.0.1.13,+1-555-0611,user50839@example.com,507.54,2022-09-10 17:25:42.085521380+00:00,0
T000000013,A000073,A000046,2025-01-01 18:52:50.592648162+00:00,75.74,gaming,web,D00078,10.0.0.4,+1-555-2760,user83726@example.com,2264.72,2021-06-07 18:52:50.592648162+00:00,0
T000000014,A000486,A000240,2025-01-01 20:19:59.099774943+00:00,39.15,utilities,web,D00118,10.0.1.239,+1-555-1461,user93848@example.com,3062.35,2017-06-10 20:19:59.099774943+00:00,0
T000000015,A000211,A000120,2025-01-01 21:47:07.606901725+00:00,10.39,utilities,card,D00082,10.0.1.181,+1-555-2344,user74957@example.com,2819.08,2021-10-20 21:47:07.606901725+00:00,0
T000000016,A000444,A000238,2025-01-01 23:14:16.114028507+00:00,35.47,utilities,wire,D00083,10.0.1.113,+1-555-5724,user96409@example.com,519.04,2018-07-12 23:14:16.114028507+00:00,0
T000000017,A000208,A000453,2025-01-02 00:41:24.621155288+00:00,9.4,travel,card,D00136,10.0.0.147,+1-555-9741,user12486@example.com,1136.09,2022-07-21 00:41:24.621155288+00:00,0
T000000018,A000202,A000298,2025-01-02 02:08:33.128282070+00:00,59.05,utilities,card,D00249,10.0.1.117,+1-555-7627,user52586@example.com,1705.72,2023-10-22 02:08:33.128282070+00:00,0
T000000019,A000300,A000495,2025-01-02 03:35:41.635408852+00:00,23.34,utilities,card,D00102,10.0.0.222,+1-555-4367,user59628@example.com,1909.2,2023-11-26 03:35:41.635408852+00:00,0
